time_id,scraping_date,year,quarter,month,day,day_name,is_weekend
531,2015-05-20,2015,2,5,20,Wednesday,False
532,2003-05-28,2003,2,5,28,Wednesday,False
533,2010-11-12,2010,4,11,12,Friday,False
534,2006-07-28,2006,3,7,28,Friday,False
535,2015-08-17,2015,3,8,17,Monday,False
536,2016-01-07,2016,1,1,7,Thursday,False
537,1999-11-30,1999,4,11,30,Tuesday,False
538,2012-08-09,2012,3,8,9,Thursday,False
539,2000-06-15,2000,2,6,15,Thursday,False
540,2012-06-20,2012,2,6,20,Wednesday,False
541,2017-03-15,2017,1,3,15,Wednesday,False
542,2004-01-23,2004,1,1,23,Friday,False
543,2012-03-23,2012,1,3,23,Friday,False
544,2003-06-06,2003,2,6,6,Friday,False
545,2007-09-18,2007,3,9,18,Tuesday,False
546,2000-03-23,2000,1,3,23,Thursday,False
547,2007-07-16,2007,3,7,16,Monday,False
548,2012-01-20,2012,1,1,20,Friday,False
549,2004-09-10,2004,3,9,10,Friday,False
550,1997-06-30,1997,2,6,30,Monday,False
551,2012-06-22,2012,2,6,22,Friday,False
552,2014-09-17,2014,3,9,17,Wednesday,False
553,1998-06-29,1998,2,6,29,Monday,False
554,2006-07-12,2006,3,7,12,Wednesday,False
555,2010-10-14,2010,4,10,14,Thursday,False
556,2005-03-14,2005,1,3,14,Monday,False
557,2008-07-04,2008,3,7,4,Friday,False
558,1997-07-31,1997,3,7,31,Thursday,False
559,2012-11-02,2012,4,11,2,Friday,False
560,1996-07-18,1996,3,7,18,Thursday,False
561,2009-09-11,2009,3,9,11,Friday,False
562,2009-03-13,2009,1,3,13,Friday,False
